now,stockname,CNT,WIN,PL,AVG,CNT_A,WIN_A,PL_A,AVG_A,WIN_COMP,PL_COMP
2018/07/25 08:27:24,1306_2015L_PL,184,57.61,1.38,1293,7,42.86,0.57,-1510,-0.256,-0.587
2018/07/25 08:27:26,1306_2016L_PL,186,56.45,1.26,990,4,75.0,0.42,-3284,0.329,-0.667
2018/07/25 08:27:26,1306_2016S_PL,165,44.85,0.87,-821,5,40.0,0.68,-829,-0.108,-0.218
2018/07/25 08:27:28,1306_2017L_PL,178,52.81,1.1,379,13,53.85,1.05,138,0.02,-0.045
2018/07/25 08:27:28,1306_2017S_PL,158,43.67,1.02,74,20,50.0,1.66,1555,0.145,0.627
2018/07/25 08:27:29,1308_2013L_PL,181,62.98,1.79,2453,6,50.0,0.37,-3687,-0.206,-0.793
2018/07/25 08:27:29,1308_2013S_PL,185,44.86,0.84,-876,3,33.33,0.11,-6045,-0.257,-0.869
2018/07/25 08:27:31,1308_2014L_PL,175,63.43,1.86,2523,7,71.43,0.77,-1664,0.126,-0.586
2018/07/25 08:27:31,1308_2014S_PL,170,46.47,0.87,-685,4,50.0,1.23,177,0.076,0.414
2018/07/25 08:27:32,1308_2015L_PL,186,62.37,1.6,1973,8,50.0,0.97,-72,-0.198,-0.394
2018/07/25 08:27:32,1308_2015S_PL,169,45.56,0.9,-529,3,66.67,1.73,2099,0.463,0.922
2018/07/25 08:27:34,1308_2016L_PL,184,61.41,1.59,2053,4,25.0,0.22,-4679,-0.593,-0.862
2018/07/25 08:27:34,1308_2016S_PL,169,46.75,0.92,-473,7,57.14,3.04,2835,0.222,2.304
2018/07/25 08:27:36,1308_2017L_PL,175,57.14,1.42,1331,11,54.55,1.43,1108,-0.045,0.007
2018/07/25 08:27:36,1308_2017S_PL,168,47.62,1.09,388,16,56.25,1.73,1711,0.181,0.587
2018/07/25 08:27:37,1309_2013L_PL,162,59.26,1.61,3016,8,75.0,21.33,14485,0.266,12.248
2018/07/25 08:27:37,1309_2013S_PL,206,59.22,1.48,2436,7,42.86,1.38,4541,-0.276,-0.068
2018/07/25 08:27:39,1309_2014L_PL,184,54.89,1.55,2649,4,25.0,0.05,-9296,-0.545,-0.968
2018/07/25 08:27:39,1309_2014S_PL,202,56.44,1.25,1328,7,57.14,1.91,5873,0.012,0.528
2018/07/25 08:27:40,1309_2015L_PL,191,52.36,1.42,2340,8,75.0,3.29,4944,0.432,1.317
2018/07/25 08:27:40,1309_2015S_PL,203,57.14,1.6,3446,2,100.0,-1,4373,0.75,-1.625
2018/07/25 08:27:41,1309_2016L_PL,197,54.82,1.58,2971,4,25.0,0.69,-1976,-0.544,-0.563
2018/07/25 08:27:42,1309_2016S_PL,194,53.61,1.65,3671,3,66.67,0.32,-7205,0.244,-0.806
2018/07/25 08:27:43,1309_2017L_PL,178,53.93,1.54,2400,11,63.64,0.79,-747,0.18,-0.487
2018/07/25 08:27:43,1309_2017S_PL,177,50.28,1.57,3098,16,50.0,0.82,-1002,-0.006,-0.478
2018/07/25 08:28:10,1320_2013L_PL,183,61.2,1.52,1858,7,57.14,0.25,-3953,-0.066,-0.836
2018/07/25 08:28:10,1320_2013S_PL,161,50.93,1.21,1031,6,66.67,1.18,594,0.309,-0.025
2018/07/25 08:28:12,1320_2014L_PL,179,59.78,1.53,1830,6,50.0,0.57,-3925,-0.164,-0.627
2018/07/25 08:28:12,1320_2014S_PL,153,50.98,1.12,539,4,50.0,2.14,2898,-0.019,0.911
2018/07/25 08:28:13,1320_2015L_PL,177,58.76,1.41,1422,6,66.67,2.41,2170,0.135,0.709
2018/07/25 08:28:15,1320_2016L_PL,178,56.74,1.24,968,6,66.67,0.63,-2476,0.175,-0.492
2018/07/25 08:28:16,1320_2016S_PL,165,47.88,1.14,665,9,66.67,2.15,1512,0.392,0.886
2018/07/25 08:28:17,1320_2017L_PL,175,54.86,1.21,788,13,69.23,1.95,1683,0.262,0.612
2018/07/25 08:28:18,1320_2017S_PL,169,45.56,1.04,171,16,56.25,1.53,1444,0.235,0.471
2018/07/25 08:28:19,1321_2013L_PL,171,60.23,1.43,1596,7,57.14,0.37,-2689,-0.051,-0.741
2018/07/25 08:28:20,1321_2013S_PL,168,48.81,1.32,1389,6,66.67,1.31,947,0.366,-0.008
2018/07/25 08:28:21,1321_2014L_PL,164,62.2,1.48,1789,8,50.0,0.08,-9088,-0.196,-0.946
2018/07/25 08:28:21,1321_2014S_PL,162,50.62,1.22,902,4,25.0,0.96,-155,-0.506,-0.213
2018/07/25 08:28:23,1321_2015L_PL,174,59.2,1.27,1063,6,66.67,1.97,1694,0.126,0.551
2018/07/25 08:28:25,1321_2016L_PL,179,57.54,1.09,408,8,50.0,0.69,-1718,-0.131,-0.367
2018/07/25 08:28:25,1321_2016S_PL,172,49.42,1.23,1060,9,66.67,1.87,1217,0.349,0.52
2018/07/25 08:28:27,1321_2017L_PL,179,56.42,1.06,259,17,64.71,2.2,2068,0.147,1.075
2018/07/25 08:28:27,1321_2017S_PL,173,45.09,1.01,63,15,53.33,1.29,850,0.183,0.277
2018/07/25 08:28:51,1326_2013L_PL,106,59.43,1.72,2113,3,66.67,215.7,5081,0.122,124.407
2018/07/25 08:28:52,1326_2013S_PL,99,50.51,1.11,539,2,50.0,0.23,-5198,-0.01,-0.793
2018/07/25 08:28:54,1326_2014S_PL,118,47.46,0.92,-366,6,50.0,1.08,149,0.054,0.174
2018/07/25 08:28:55,1326_2015L_PL,120,53.33,1.32,918,5,60.0,1.4,731,0.125,0.061
2018/07/25 08:28:55,1326_2015S_PL,133,49.62,1.13,476,6,33.33,0.59,-929,-0.328,-0.478
2018/07/25 08:28:57,1326_2016L_PL,132,54.55,1.18,503,1,100.0,-1,0,0.833,-1.847
2018/07/25 08:28:59,1326_2017L_PL,126,52.38,1.19,421,12,33.33,0.21,-2957,-0.364,-0.824
2018/07/25 08:28:59,1326_2017S_PL,140,45.0,0.94,-177,21,42.86,0.33,-2892,-0.048,-0.649
2018/07/25 08:29:11,1329_2013L_PL,161,61.49,1.61,2120,5,60.0,0.37,-2743,-0.024,-0.77
2018/07/25 08:29:11,1329_2013S_PL,144,47.92,1.06,294,6,66.67,1.74,2017,0.391,0.642
2018/07/25 08:29:13,1329_2014L_PL,164,62.8,1.64,2127,5,60.0,0.21,-8069,-0.045,-0.872
2018/07/25 08:29:15,1329_2015L_PL,166,62.05,1.45,1544,6,66.67,2.6,2917,0.074,0.793
2018/07/25 08:29:15,1329_2015S_PL,147,44.9,1.03,163,3,33.33,1.56,2085,-0.258,0.515
2018/07/25 08:29:16,1329_2016L_PL,172,61.63,1.41,1497,8,62.5,0.72,-1708,0.014,-0.489
2018/07/25 08:29:17,1329_2016S_PL,160,45.62,0.99,-53,8,75.0,3.1,2266,0.644,2.131
2018/07/25 08:29:18,1329_2017L_PL,172,61.63,1.45,1471,12,50.0,0.64,-1371,-0.189,-0.559
2018/07/25 08:29:19,1329_2017S_PL,166,46.39,1.08,422,15,53.33,1.31,1007,0.15,0.213
2018/07/25 08:29:20,1330_2013L_PL,164,64.02,1.8,2580,6,66.67,0.67,-1126,0.041,-0.628
2018/07/25 08:29:21,1330_2013S_PL,168,50.6,1.08,401,6,66.67,1.34,1182,0.318,0.241
2018/07/25 08:29:22,1330_2014L_PL,161,65.22,1.85,2605,8,50.0,0.43,-5569,-0.233,-0.768
2018/07/25 08:29:22,1330_2014S_PL,163,51.53,0.96,-190,6,50.0,1.49,1171,-0.03,0.552
2018/07/25 08:29:24,1330_2015L_PL,172,62.21,1.56,1829,5,60.0,2.21,1962,-0.036,0.417
2018/07/25 08:29:25,1330_2016L_PL,173,58.96,1.21,854,5,40.0,0.44,-4290,-0.322,-0.636
2018/07/25 08:29:26,1330_2016S_PL,176,46.02,1.03,168,8,75.0,1.7,1172,0.63,0.65
2018/07/25 08:29:27,1330_2017L_PL,166,60.84,1.25,960,16,68.75,3.17,2834,0.13,1.536
2018/07/25 08:29:27,1330_2017S_PL,178,43.82,1.02,77,16,50.0,1.12,364,0.141,0.098
2018/07/25 08:29:29,1332_2013L_PL,190,49.47,1.13,796,5,60.0,2.35,9642,0.213,1.08
2018/07/25 08:29:29,1332_2013S_PL,184,44.02,0.92,-591,5,40.0,0.63,-3366,-0.091,-0.315
2018/07/25 08:29:31,1332_2014L_PL,187,52.41,1.39,2280,10,60.0,4.36,19026,0.145,2.137
2018/07/25 08:29:31,1332_2014S_PL,196,42.86,0.86,-1125,3,66.67,0.83,-1534,0.556,-0.035
2018/07/25 08:29:32,1332_2015L_PL,192,52.6,1.59,3369,11,63.64,1.46,2163,0.21,-0.082
2018/07/25 08:29:32,1332_2015S_PL,195,44.62,0.86,-1046,2,50.0,0.69,-1829,0.121,-0.198
2018/07/25 08:29:34,1332_2016L_PL,206,53.88,1.42,2768,7,71.43,2.11,2878,0.326,0.486
2018/07/25 08:29:34,1332_2016S_PL,192,47.92,1.06,437,6,83.33,5.78,7869,0.739,4.453
2018/07/25 08:29:35,1332_2017L_PL,214,52.8,1.29,1874,16,31.25,0.27,-3964,-0.408,-0.791
2018/07/25 08:29:35,1332_2017S_PL,198,45.96,0.96,-253,17,64.71,1.25,1430,0.408,0.302
2018/07/25 08:29:37,1333_2017L_PL,112,53.57,1.33,1496,26,42.31,0.71,-1578,-0.21,-0.466
2018/07/25 08:29:37,1333_2017S_PL,97,50.52,0.73,-1581,14,64.29,1.75,2188,0.273,1.397
2018/07/25 08:29:38,1343_2013L_PL,176,68.75,3.37,4922,9,88.89,17.75,3732,0.293,4.267
2018/07/25 08:29:39,1343_2013S_PL,194,50.0,1.31,1183,2,100.0,-1,9011,1.0,-1.763
2018/07/25 08:29:40,1343_2014L_PL,224,68.3,3.66,4612,7,57.14,0.55,-1585,-0.163,-0.85
2018/07/25 08:29:40,1343_2014S_PL,212,46.7,1.15,610,4,25.0,0.1,-3568,-0.465,-0.913
2018/07/25 08:29:42,1343_2015L_PL,222,66.67,3.85,4605,11,54.55,2.32,2123,-0.182,-0.397
2018/07/25 08:29:42,1343_2015S_PL,205,48.78,1.1,340,3,66.67,1.76,1812,0.367,0.6
2018/07/25 08:29:43,1343_2016L_PL,241,63.07,3.47,4282,7,57.14,1.02,49,-0.094,-0.706
2018/07/25 08:29:43,1343_2016S_PL,198,49.49,1.13,454,8,25.0,0.1,-2501,-0.495,-0.912
2018/07/25 08:29:45,1343_2017L_PL,227,56.39,2.03,1909,21,42.86,0.76,-441,-0.24,-0.626
2018/07/25 08:29:45,1343_2017S_PL,207,51.69,1.04,122,14,50.0,0.44,-1284,-0.033,-0.577
2018/07/25 08:29:52,1345_2013L_PL,163,66.87,3.59,5064,11,72.73,5.11,3057,0.088,0.423
2018/07/25 08:29:52,1345_2013S_PL,181,49.17,1.37,1398,5,80.0,1.73,3439,0.627,0.263
2018/07/25 08:29:54,1345_2014L_PL,215,67.91,3.51,4477,10,70.0,0.92,-202,0.031,-0.738
2018/07/25 08:29:54,1345_2014S_PL,202,50.99,1.38,1384,5,40.0,0.65,-1126,-0.216,-0.529
2018/07/25 08:29:56,1345_2015L_PL,220,66.82,3.58,4367,13,76.92,10.44,2845,0.151,1.916
2018/07/25 08:29:56,1345_2015S_PL,202,51.98,1.23,813,2,50.0,0.5,-1453,-0.038,-0.593
2018/07/25 08:29:57,1345_2016L_PL,234,65.81,3.65,4181,6,83.33,19.67,3700,0.266,4.389
2018/07/25 08:29:58,1345_2016S_PL,188,53.19,1.3,1035,6,33.33,0.28,-1312,-0.373,-0.785
2018/07/25 08:29:59,1345_2017L_PL,214,61.21,2.46,2278,22,40.91,0.38,-2265,-0.332,-0.846
2018/07/25 08:29:59,1345_2017S_PL,209,49.76,1.08,223,14,50.0,0.45,-1192,0.005,-0.583
2018/07/25 08:30:00,1346_2013L_PL,121,66.94,1.97,3128,6,50.0,0.29,-3172,-0.253,-0.853
2018/07/25 08:30:01,1346_2013S_PL,116,48.28,1.31,1262,6,66.67,1.54,1705,0.381,0.176
2018/07/25 08:30:02,1346_2014L_PL,156,66.03,2.02,2962,7,57.14,0.66,-2380,-0.135,-0.673
2018/07/25 08:30:02,1346_2014S_PL,143,48.95,1.27,1037,5,40.0,1.61,1528,-0.183,0.268
2018/07/25 08:30:03,1346_2015L_PL,162,62.96,1.72,2241,5,80.0,109.72,4327,0.271,62.791
2018/07/25 08:30:04,1346_2016L_PL,167,58.68,1.46,1662,6,50.0,0.59,-2580,-0.148,-0.596
2018/07/25 08:30:04,1346_2016S_PL,167,48.5,1.17,828,8,62.5,2.19,1635,0.289,0.872
2018/07/25 08:30:05,1346_2017L_PL,168,58.93,1.5,1589,14,64.29,2.27,2376,0.091,0.513
2018/07/25 08:30:06,1346_2017S_PL,169,44.38,0.97,-166,14,57.14,1.42,1171,0.288,0.464
2018/07/25 08:30:06,1348_2013L_PL,129,61.24,1.84,2477,6,50.0,0.57,-1619,-0.184,-0.69
2018/07/25 08:30:06,1348_2013S_PL,135,44.44,0.8,-1270,4,50.0,0.58,-2112,0.125,-0.275
2018/07/25 08:30:07,1348_2014L_PL,165,61.21,1.76,2132,6,66.67,0.91,-664,0.089,-0.483
2018/07/25 08:30:08,1348_2014S_PL,175,44.0,0.78,-1317,3,33.33,0.26,-1206,-0.243,-0.667
2018/07/25 08:30:09,1348_2015L_PL,186,60.22,1.73,2164,6,50.0,0.52,-1445,-0.17,-0.699
2018/07/25 08:30:09,1348_2015S_PL,190,44.21,0.82,-1065,3,33.33,0.11,-3482,-0.246,-0.866
2018/07/25 08:30:10,1348_2016L_PL,189,59.79,1.62,2043,5,60.0,0.31,-3279,0.004,-0.809
2018/07/25 08:30:10,1348_2016S_PL,186,44.62,0.82,-1217,6,33.33,0.64,-706,-0.253,-0.22
2018/07/25 08:30:11,1348_2017L_PL,176,56.82,1.26,899,12,58.33,1.27,645,0.027,0.008
2018/07/25 08:30:11,1348_2017S_PL,177,43.5,0.87,-715,20,45.0,1.45,1027,0.034,0.667
2018/07/25 08:30:19,1356_2017L_PL,85,45.88,0.86,-1367,16,56.25,2.01,4245,0.226,1.337
2018/07/25 08:30:20,1356_2017S_PL,67,46.27,0.67,-4149,12,66.67,3.38,5739,0.441,4.045
2018/07/25 08:30:32,1377_2013L_PL,215,50.7,1.37,1274,10,60.0,5.03,10190,0.183,2.672
2018/07/25 08:30:33,1377_2013S_PL,194,44.85,0.71,-1356,4,50.0,1.81,4003,0.115,1.549
2018/07/25 08:30:34,1377_2014L_PL,221,48.87,1.39,1410,8,87.5,18.46,14048,0.79,12.281
2018/07/25 08:30:34,1377_2014S_PL,189,46.03,0.85,-623,4,100.0,-1,10729,1.172,-2.176
2018/07/25 08:30:35,1377_2015L_PL,214,52.8,1.55,2023,7,57.14,1.72,3017,0.082,0.11
2018/07/25 08:30:36,1377_2015S_PL,186,44.09,0.83,-850,6,83.33,6.13,4218,0.89,6.386
2018/07/25 08:30:37,1377_2016L_PL,206,56.31,1.87,3364,10,50.0,0.7,-916,-0.112,-0.626
2018/07/25 08:30:37,1377_2016S_PL,196,50.0,1.03,161,7,14.29,0.13,-7211,-0.714,-0.874
2018/07/25 08:30:38,1377_2017L_PL,204,55.88,1.93,3031,21,61.9,3.29,6308,0.108,0.705
2018/07/25 08:30:38,1377_2017S_PL,198,52.02,0.99,-56,12,50.0,0.65,-1776,-0.039,-0.343
2018/07/25 08:30:39,1379_2013L_PL,221,48.87,1.0,-10,6,66.67,7.18,5123,0.364,6.18
2018/07/25 08:30:40,1379_2013S_PL,193,47.67,0.8,-844,5,40.0,0.07,-5067,-0.161,-0.912
2018/07/25 08:30:41,1379_2014L_PL,220,50.45,1.07,235,3,66.67,8.16,4101,0.322,6.626
2018/07/25 08:30:41,1379_2014S_PL,195,47.18,0.78,-897,5,20.0,0.32,-6673,-0.576,-0.59
2018/07/25 08:30:42,1379_2015L_PL,234,50.43,1.23,824,10,70.0,4.34,4444,0.388,2.528
2018/07/25 08:30:42,1379_2015S_PL,187,42.78,0.86,-639,6,50.0,0.62,-1195,0.169,-0.279
2018/07/25 08:30:43,1379_2016L_PL,236,55.08,1.43,1533,11,36.36,0.59,-1320,-0.34,-0.587
2018/07/25 08:30:43,1379_2016S_PL,201,40.3,0.77,-1180,5,20.0,0.61,-1561,-0.504,-0.208
2018/07/25 08:30:44,1379_2017L_PL,233,54.94,1.37,1272,17,47.06,0.8,-1246,-0.143,-0.416
2018/07/25 08:30:44,1379_2017S_PL,212,39.15,0.79,-943,21,42.86,0.83,-650,0.095,0.051
2018/07/25 08:31:10,1407_2014L_PL,216,61.57,2.63,12350,7,71.43,3.0,9671,0.16,0.141
2018/07/25 08:31:10,1407_2014S_PL,193,59.07,1.26,2673,7,71.43,5.63,6597,0.209,3.468
2018/07/25 08:31:11,1407_2015L_PL,224,61.16,2.38,10155,4,75.0,32.59,9161,0.226,12.693
2018/07/25 08:31:11,1407_2015S_PL,203,61.08,1.4,3590,12,41.67,0.88,-472,-0.318,-0.371
2018/07/25 08:31:12,1407_2016L_PL,218,60.09,2.12,7423,6,16.67,1.27,1020,-0.723,-0.401
2018/07/25 08:31:12,1407_2016S_PL,210,61.43,1.65,4623,7,71.43,2.15,1367,0.163,0.303
2018/07/25 08:31:13,1407_2017L_PL,228,56.58,1.44,2732,16,50.0,2.3,3753,-0.116,0.597
2018/07/25 08:31:14,1407_2017S_PL,205,61.46,1.83,4516,20,50.0,1.14,463,-0.186,-0.377
2018/07/25 08:31:18,1414_2013L_PL,193,65.8,3.11,6667,5,60.0,0.82,-957,-0.088,-0.736
2018/07/25 08:31:18,1414_2013S_PL,206,49.51,0.76,-1633,7,14.29,0.15,-4845,-0.711,-0.803
2018/07/25 08:31:19,1414_2014L_PL,192,66.67,3.5,6871,5,80.0,5.7,5062,0.2,0.629
2018/07/25 08:31:20,1414_2014S_PL,219,47.49,0.73,-1783,5,60.0,2.78,6576,0.263,2.808
2018/07/25 08:31:21,1414_2015L_PL,195,64.62,2.68,5187,4,100.0,-1,9842,0.548,-1.373
2018/07/25 08:31:21,1414_2015S_PL,203,49.26,1.0,20,6,33.33,0.37,-2323,-0.323,-0.63
2018/07/25 08:31:22,1414_2016L_PL,187,65.78,2.58,5252,7,71.43,3.97,8398,0.086,0.539
2018/07/25 08:31:22,1414_2016S_PL,215,47.44,0.98,-107,3,66.67,1.19,1666,0.405,0.214
2018/07/25 08:31:23,1414_2017L_PL,179,65.92,2.19,3867,18,38.89,0.43,-3814,-0.41,-0.804
2018/07/25 08:31:23,1414_2017S_PL,197,49.75,0.95,-262,13,30.77,0.54,-2495,-0.382,-0.432
2018/07/25 08:31:24,1417_2014L_PL,152,49.34,1.17,877,9,44.44,0.3,-5028,-0.099,-0.744
2018/07/25 08:31:24,1417_2014S_PL,118,40.68,0.82,-1404,5,60.0,1.01,21,0.475,0.232
2018/07/25 08:31:25,1417_2015L_PL,212,49.53,1.05,271,7,42.86,0.43,-3396,-0.135,-0.59
2018/07/25 08:31:25,1417_2015S_PL,156,43.59,0.87,-908,4,50.0,0.21,-5393,0.147,-0.759
2018/07/25 08:31:26,1417_2016L_PL,249,51.0,1.26,1381,9,66.67,1.98,4498,0.307,0.571
2018/07/25 08:31:27,1417_2016S_PL,195,44.1,0.83,-1311,6,33.33,0.21,-10817,-0.244,-0.747
2018/07/25 08:31:28,1417_2017L_PL,245,51.43,1.42,1957,25,48.0,1.65,2508,-0.067,0.162
2018/07/25 08:31:28,1417_2017S_PL,198,44.95,0.76,-1718,19,57.89,1.88,3995,0.288,1.474
2018/07/25 08:31:31,1418_2017L_PL,192,48.96,1.21,2375,15,60.0,1.38,2264,0.225,0.14
2018/07/25 08:31:31,1418_2017S_PL,181,46.41,1.07,736,16,31.25,0.36,-6443,-0.327,-0.664
2018/07/25 08:31:33,1419_2016L_PL,93,53.76,1.2,992,14,71.43,2.58,3801,0.329,1.15
2018/07/25 08:31:33,1419_2016S_PL,94,58.51,1.61,2932,5,20.0,1.35,863,-0.658,-0.161
2018/07/25 08:31:34,1419_2017L_PL,148,58.78,1.32,1501,17,52.94,3.05,11938,-0.099,1.311
2018/07/25 08:31:34,1419_2017S_PL,137,54.01,1.59,2575,25,52.0,1.62,4113,-0.037,0.019
2018/07/25 08:31:36,1420_2016L_PL,86,47.67,1.13,748,9,44.44,1.31,3217,-0.068,0.159
2018/07/25 08:31:36,1420_2016S_PL,97,47.42,1.01,92,4,75.0,2.44,7197,0.582,1.416
2018/07/25 08:31:37,1420_2017L_PL,128,51.56,1.29,1571,15,26.67,0.53,-3471,-0.483,-0.589
2018/07/25 08:31:37,1420_2017S_PL,123,47.97,0.97,-181,17,52.94,0.63,-2806,0.104,-0.351
2018/07/25 08:31:39,1429_2017L_PL,122,58.2,1.42,2894,17,52.94,0.95,-271,-0.09,-0.331
2018/07/25 08:31:39,1429_2017S_PL,119,46.22,1.1,780,21,38.1,1.19,1142,-0.176,0.082
2018/07/25 08:32:11,1515_2013L_PL,220,55.91,1.7,3734,6,66.67,10.67,8774,0.192,5.276
2018/07/25 08:32:11,1515_2013S_PL,200,52.0,1.01,108,5,40.0,0.46,-2786,-0.231,-0.545
2018/07/25 08:32:13,1515_2014L_PL,218,59.17,1.95,4439,3,66.67,4.21,9599,0.127,1.159
2018/07/25 08:32:13,1515_2014S_PL,197,51.78,1.22,1400,6,50.0,0.39,-7145,-0.034,-0.68
2018/07/25 08:32:15,1515_2015L_PL,206,59.22,1.68,3418,8,75.0,16.87,21925,0.266,9.042
2018/07/25 08:32:15,1515_2015S_PL,206,51.46,1.17,1111,8,50.0,0.52,-5734,-0.028,-0.556
2018/07/25 08:32:16,1515_2016L_PL,210,57.62,1.9,4319,4,75.0,2.06,4190,0.302,0.084
2018/07/25 08:32:16,1515_2016S_PL,208,53.37,1.2,1357,6,66.67,6.67,9092,0.249,4.558
2018/07/25 08:32:18,1515_2017L_PL,215,56.74,1.6,3051,12,58.33,2.49,6412,0.028,0.556
2018/07/25 08:32:18,1515_2017S_PL,203,50.74,1.24,1550,23,56.52,3.65,6294,0.114,1.944
2018/07/25 08:32:20,1518_2013L_PL,214,59.35,1.7,5148,9,44.44,0.26,-4635,-0.251,-0.847
2018/07/25 08:32:20,1518_2013S_PL,191,55.5,1.37,2730,7,71.43,0.51,-1930,0.287,-0.628
2018/07/25 08:32:22,1518_2014L_PL,217,58.53,1.51,3501,6,33.33,0.12,-5687,-0.431,-0.921
2018/07/25 08:32:22,1518_2014S_PL,208,53.85,1.19,1230,7,42.86,0.39,-5064,-0.204,-0.672
2018/07/25 08:32:24,1518_2015L_PL,229,55.02,1.41,2486,6,50.0,1.61,5437,-0.091,0.142
2018/07/25 08:32:24,1518_2015S_PL,224,50.0,0.84,-1085,5,40.0,0.54,-2331,-0.2,-0.357
2018/07/25 08:32:25,1518_2016L_PL,244,52.05,1.29,1715,10,50.0,0.8,-1036,-0.039,-0.38
2018/07/25 08:32:25,1518_2016S_PL,225,47.56,0.8,-1202,3,100.0,-1,13430,1.103,-2.25
2018/07/25 08:32:27,1518_2017L_PL,252,48.81,0.86,-830,16,68.75,1.45,2029,0.409,0.686
2018/07/25 08:32:27,1518_2017S_PL,227,48.02,0.93,-372,19,47.37,0.79,-1282,-0.014,-0.151
2018/07/25 08:32:29,1540_2014L_PL,70,54.29,1.81,1808,2,50.0,0.13,-4866,-0.079,-0.928
2018/07/25 08:32:29,1540_2014S_PL,90,43.33,0.8,-841,5,80.0,8.03,3681,0.846,9.037
2018/07/25 08:32:30,1540_2015L_PL,86,51.16,1.45,1085,7,42.86,0.28,-1255,-0.162,-0.807
2018/07/25 08:32:31,1540_2015S_PL,126,42.86,0.88,-430,6,50.0,5.07,3409,0.167,4.761
2018/07/25 08:32:32,1540_2016L_PL,103,56.31,1.66,1442,4,75.0,3.25,1492,0.332,0.958
2018/07/25 08:32:32,1540_2016S_PL,150,42.0,0.83,-573,5,40.0,0.81,-267,-0.048,-0.024
2018/07/25 08:32:33,1540_2017L_PL,110,53.64,1.29,580,8,50.0,0.79,-342,-0.068,-0.388
2018/07/25 08:32:34,1540_2017S_PL,148,39.19,0.76,-662,18,44.44,0.69,-504,0.134,-0.092
2018/07/25 08:32:38,1541_2014L_PL,92,63.04,1.56,1792,3,66.67,0.72,-2541,0.058,-0.538
2018/07/25 08:32:38,1541_2014S_PL,107,45.79,0.84,-645,7,57.14,0.72,-968,0.248,-0.143
2018/07/25 08:32:40,1541_2015L_PL,118,64.41,1.72,2283,7,28.57,0.31,-3976,-0.556,-0.82
2018/07/25 08:32:40,1541_2015S_PL,154,45.45,0.81,-712,1,100.0,-1,955,1.2,-2.235
2018/07/25 08:32:42,1541_2016L_PL,142,64.79,1.9,2663,6,50.0,2.11,1553,-0.228,0.111
2018/07/25 08:32:42,1541_2016S_PL,174,51.72,0.94,-222,6,66.67,6.53,2870,0.289,5.947
